id;code;brand;name;quantity;price;category;supermarket;city;zip
56;3188720001679;LA CUISINE D'OCEANE;Saucisse grille & puree de pomme de terre Barquette Micro-onde;300g ;2.95;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
57;3188720001679;LA CUISINE D'OCEANE;Saucisse grille & puree de pomme de terre Barquette Micro-onde;300g ;2.91;EPICERIE;CORA;MASSY;91300
59;3188720002454;LA CUISINE D'OCEANE;Steak hache charolais & puree emmental Barquette Micro-onde;300g ;3.36;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
60;3188720002454;LA CUISINE D'OCEANE;Steak hache charolais & puree emmental Barquette Micro-onde;300g ;3.24;EPICERIE;CORA;MASSY;91300
62;3229820181363;TANOSHI JAPON;Nouilles japonaise precuite assaisonnement & soja & caramel Sachet;360g ;3.45;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
63;3229820181363;TANOSHI JAPON;Nouilles japonaise precuite assaisonnement & soja & caramel Sachet;360g ;3.33;EPICERIE;CORA;MASSY;91300
64;3229820762043;TANOSHI JAPON;Nouilles asiatiques Nouilles japonaises poulet teriyaki Pot;65g ;1.72;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
65;3229820762043;TANOSHI JAPON;Nouilles asiatiques Nouilles japonaises poulet teriyaki Pot;65g ;1.72;EPICERIE;CORA;MASSY;91300
66;3229820765365;TANOSHI JAPON RAMEN;Nouilles japonaises precuites assaisonnement boeuf Sachet;360g ;3.45;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
67;3229820765365;TANOSHI JAPON RAMEN;Nouilles japonaises precuites assaisonnement boeuf Sachet;360g ;3.28;EPICERIE;CORA;MASSY;91300
68;3229820765372;TANOSHI JAPON;Nouilles asiatiques Nouilles japonaises boeuf teppanyaki Pot;65g ;1.72;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
69;3229820765372;TANOSHI JAPON;Nouilles asiatiques Nouilles japonaises boeuf teppanyaki Pot;65g ;1.70;EPICERIE;CORA;MASSY;91300
73;3261053456603;GARBIT;Couscous royal poulet & boeuf Boite;980g ;4.62;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
74;3261053456603;GARBIT;Couscous royal poulet & boeuf Boite;980g ;4.41;EPICERIE;CORA;MASSY;91300
80;3261055930422;WILLIAM SAURIN;Cassoulet mitonne Porc Boite;840g ;2.85;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
81;3261055930422;WILLIAM SAURIN;Cassoulet mitonne Porc Boite;840g ;2.80;EPICERIE;CORA;MASSY;91300
82;3261055930439;WILLIAM SAURIN;Cassoulet mitonne Porc Boite;420g ;2.00;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
83;3261055930439;WILLIAM SAURIN;Cassoulet mitonne Porc Boite;420g ;1.89;EPICERIE;CORA;MASSY;91300
85;3307130803004;JARDIN BIO LOGIQUE PROVENCAL;Ratatouille provencale BIO Bocal;650g 720ml ;3.59;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
86;3307130803004;JARDIN BIO LOGIQUE PROVENCAL;Ratatouille provencale BIO Bocal;650g 720ml ;3.21;EPICERIE;CORA;MASSY;91300
88;3478820003193;JARDIN BIO;Quinoa sud americaine eminces & sesame Poulet BIO Poche;250g ;3.15;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
89;3478820003193;JARDIN BIO;Quinoa sud americaine eminces & sesame Poulet BIO Poche;250g ;2.92;EPICERIE;CORA;MASSY;91300
90;3478820023726;JARDIN BIO;Ravioli Legumes BIO Pot;675g ;4.17;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
91;3478820023726;JARDIN BIO;Ravioli Legumes BIO Pot;675g ;3.87;EPICERIE;CORA;MASSY;91300
94;5997523311230;NISSIN SOBA;Nouilles asiatiques Nouilles instantanees poulet yakitori Pot;89g ;2.93;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
95;5997523311230;NISSIN SOBA;Nouilles asiatiques Nouilles instantanees poulet yakitori Pot;89g ;3.08;EPICERIE;CORA;MASSY;91300
96;5997523313111;NISSIN SOBA;Nouilles asiatiques Nouilles instantanees Pot;90g ;2.93;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
97;5997523313111;NISSIN SOBA;Nouilles asiatiques Nouilles instantanees Pot;90g ;2.92;EPICERIE;CORA;MASSY;91300
98;5997523317232;NISSIN CUP;Nouilles japonaises Nouilles japonaises boeuf aux epices Pot;64g ;2.23;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
99;5997523317232;NISSIN CUP;Nouilles japonaises Nouilles japonaises boeuf aux epices Pot;64g ;2.31;EPICERIE;CORA;MASSY;91300
100;8410076472489;OLD EL PASO;Kit Burritos sans piment Boite;491g ;6.67;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
101;8410076472489;OLD EL PASO;Kit Burritos sans piment Boite;491g ;6.23;EPICERIE;CORA;MASSY;91300
102;8410076472496;OLD EL PASO;Kit Fajitas sans piment Boite +sauce;521g ;6.31;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
103;8410076472496;OLD EL PASO;Kit Fajitas sans piment Boite +sauce;521g ;6.18;EPICERIE;CORA;MASSY;91300
104;8410076472502;OLD EL PASO;Kit Fajitas sans piment Boite +sauce;478g ;5.79;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
105;8410076472502;OLD EL PASO;Kit Fajitas sans piment Boite +sauce;478g ;5.66;EPICERIE;CORA;MASSY;91300
106;8410076472960;OLD EL PASO;Kit Fajitas Boite +sauce;500g ;5.65;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
107;8410076472960;OLD EL PASO;Kit Fajitas Boite +sauce;500g ;5.29;EPICERIE;CORA;MASSY;91300
108;8410076472977;OLD EL PASO;Kit Burritos Boite +sauce;510g ;5.48;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
109;8410076472977;OLD EL PASO;Kit Burritos Boite +sauce;510g ;5.39;EPICERIE;CORA;MASSY;91300
111;3047360801080;HEREFORD;Boeuf sale - corned-beef Boite;340g ;3.95;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
112;3047360801080;HEREFORD;Boeuf sale - corned-beef Boite;340g ;3.84;EPICERIE;CORA;MASSY;91300
117;3019081235598;PETIT NAVIRE;Thon Miette Boite;110g 110m ;2.31;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
118;3019081235598;PETIT NAVIRE;Thon Miette Boite;110g 110m ;2.20;EPICERIE;CORA;MASSY;91300
119;3019081235604;PETIT NAVIRE;Thon Miette Boite;110g 110m ;2.31;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
120;3019081235604;PETIT NAVIRE;Thon Miette Boite;110g 110m ;2.35;EPICERIE;CORA;MASSY;91300
122;3019081236106;PETIT NAVIRE;Thon Miette Huile d'olive vierge extra Boite;160g 104e 170m ;2.72;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
123;3019081236106;PETIT NAVIRE;Thon Miette Huile d'olive vierge extra Boite;160g 104e 170m ;2.62;EPICERIE;CORA;MASSY;91300
126;3019081238643;PARMENTIER;Sardine Entier Huile d'olive vierge extra Boite;135g 95e 125m ;1.45;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
127;3019081238643;PARMENTIER;Sardine Entier Huile d'olive vierge extra Boite;135g 95e 125m ;1.58;EPICERIE;CORA;MASSY;91300
133;3019081239626;PETIT NAVIRE;Thon Albacore Entier Au naturel Pot;190g 140e 190ml ;2.39;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
134;3019081239626;PETIT NAVIRE;Thon Albacore Entier Au naturel Pot;190g 140e 190ml ;2.38;EPICERIE;CORA;MASSY;91300
135;3019081239633;PETIT NAVIRE;Thon Albacore Entier Au naturel Pot;x2 190ml 140e 190g ;4.69;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
136;3019081239633;PETIT NAVIRE;Thon Albacore Entier Au naturel Pot;x2 190ml 140e 190g ;4.64;EPICERIE;CORA;MASSY;91300
138;3019081239657;PETIT NAVIRE;Thon Albacore Entier Au naturel Pot;x2 142m 93e 132g ;3.62;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
139;3019081239657;PETIT NAVIRE;Thon Albacore Entier Au naturel Pot;x2 142m 93e 132g ;3.55;EPICERIE;CORA;MASSY;91300
140;3019081239862;PETIT NAVIRE;Thon Albacore Entier Au naturel Pot;265g 185e 283m ;3.12;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
141;3019081239862;PETIT NAVIRE;Thon Albacore Entier Au naturel Pot;265g 185e 283m ;3.12;EPICERIE;CORA;MASSY;91300
142;3019081239879;PETIT NAVIRE;Thon Albacore Entier Au naturel Pot;400g 280e 425m ;4.74;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
143;3019081239879;PETIT NAVIRE;Thon Albacore Entier Au naturel Pot;400g 280e 425m ;4.64;EPICERIE;CORA;MASSY;91300
145;3019081240769;PETIT NAVIRE;Thon Morceau Au naturel Pot;160g 112e 170m ;2.10;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
146;3019081240769;PETIT NAVIRE;Thon Morceau Au naturel Pot;160g 112e 170m ;2.18;EPICERIE;CORA;MASSY;91300
147;3019081240806;PETIT NAVIRE;Thon Entier Au naturel Pot;x2 170m 112e 160g ;4.73;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
148;3019081240806;PETIT NAVIRE;Thon Entier Au naturel Pot;x2 170m 112e 160g ;4.64;EPICERIE;CORA;MASSY;91300
150;3019081241193;PETIT NAVIRE;Filet Maquereau Moutarde Boite;169g 187m ;2.35;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
151;3019081241193;PETIT NAVIRE;Filet Maquereau Moutarde Boite;169g 187m ;2.24;EPICERIE;CORA;MASSY;91300
152;3019081241216;PETIT NAVIRE;Filet Maquereau Vin blanc & aromates Boite;175g 187m ;2.35;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
153;3019081241216;PETIT NAVIRE;Filet Maquereau Vin blanc & aromates Boite;175g 187m ;2.25;EPICERIE;CORA;MASSY;91300
154;3019081241551;PETIT NAVIRE;Thon Miette Boite;160g 104e 160m ;2.20;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
155;3019081241551;PETIT NAVIRE;Thon Miette Boite;160g 104e 160m ;2.13;EPICERIE;CORA;MASSY;91300
158;3165950049015;SAUPIQUET;Sardine Filet Citron & basilic Sans-arètes Boite;100g 125m ;1.72;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
159;3165950049015;SAUPIQUET;Sardine Filet Citron & basilic Sans-arètes Boite;100g 125m ;1.61;EPICERIE;CORA;MASSY;91300
160;3165950110012;SAUPIQUET;Thon Filet Huile d'olive Pot;125g 75e 125m ;2.44;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
161;3165950110012;SAUPIQUET;Thon Filet Huile d'olive Pot;125g 75e 125m ;2.35;EPICERIE;CORA;MASSY;91300
164;3165950216011;SAUPIQUET;Filet Maquereau Grille Boite;120g 120m ;2.34;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
165;3165950216011;SAUPIQUET;Filet Maquereau Grille Boite;120g 120m ;2.21;EPICERIE;CORA;MASSY;91300
168;3165957058010;SAUPIQUET;Filet Maquereau Moutarde Boite;169g 187m ;1.93;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
169;3165957058010;SAUPIQUET;Filet Maquereau Moutarde Boite;169g 187m ;1.92;EPICERIE;CORA;MASSY;91300
170;3165957222015;SAUPIQUET;Filet Maquereau Tomate & basilic Boite;187g 187m ;2.00;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
171;3165957222015;SAUPIQUET;Filet Maquereau Tomate & basilic Boite;187g 187m ;1.92;EPICERIE;CORA;MASSY;91300
174;3165957822017;SAUPIQUET;Sardine Filet Huile d'olive vierge extra Sans-arètes Boite;100g 70e 125m ;1.72;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
175;3165957822017;SAUPIQUET;Sardine Filet Huile d'olive vierge extra Sans-arètes Boite;100g 70e 125m ;1.63;EPICERIE;CORA;MASSY;91300
176;3165958350014;SAUPIQUET;Filet Maquereau Vin blanc & aromates Boite;176g 187m ;2.00;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
177;3165958350014;SAUPIQUET;Filet Maquereau Vin blanc & aromates Boite;176g 187m ;1.98;EPICERIE;CORA;MASSY;91300
178;3165958535015;SAUPIQUET;Filet Maquereau Escabeche Boite;187g 187m ;1.93;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
179;3165958535015;SAUPIQUET;Filet Maquereau Escabeche Boite;187g 187m ;1.89;EPICERIE;CORA;MASSY;91300
180;3165959213028;SAUPIQUET;Thon Medaillon Catalane Pot;x2 142m 135g ;2.44;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
181;3165959213028;SAUPIQUET;Thon Medaillon Catalane Pot;x2 142m 135g ;2.36;EPICERIE;CORA;MASSY;91300
182;3165959308021;SAUPIQUET;Thon Medaillon Mayonnaise Pot;x2 142m 55e 135g ;2.38;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
183;3165959308021;SAUPIQUET;Thon Medaillon Mayonnaise Pot;x2 142m 55e 135g ;2.44;EPICERIE;CORA;MASSY;91300
184;3263670034455;LE SAVOUREUX;Thon Albacore Entier Huile d'olive Pot;170g 120e 170m ;3.40;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
185;3263670034455;LE SAVOUREUX;Thon Albacore Entier Huile d'olive Pot;170g 120e 170m ;3.30;EPICERIE;CORA;MASSY;91300
186;3263670111330;CONNETABLE MES P'TITS PLAISIRS;Sardine Entier Huile d'olive vierge extra Boite;x3 55m 41e 55g ;4.04;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
187;3263670111330;CONNETABLE MES P'TITS PLAISIRS;Sardine Entier Huile d'olive vierge extra Boite;x3 55m 41e 55g ;3.99;EPICERIE;CORA;MASSY;91300
190;3263670162219;CONNETABLE LA NATURE;Sardine Entier Au naturel Boite;135g 95e 150ml ;2.16;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
191;3263670162219;CONNETABLE LA NATURE;Sardine Entier Au naturel Boite;135g 95e 150ml ;2.08;EPICERIE;CORA;MASSY;91300
192;3263670434910;CONNETABLE;Thon Blanc Entier Au naturel Label-Rouge Pot;160g 120e 170m ;3.58;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
193;3263670434910;CONNETABLE;Thon Blanc Entier Au naturel Label-Rouge Pot;160g 120e 170m ;3.61;EPICERIE;CORA;MASSY;91300
194;3263670923414;CONNETABLE;Foie Morue Nature & sel de guerande Boite;121g 121m ;2.44;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
195;3263670923414;CONNETABLE;Foie Morue Nature & sel de guerande Boite;121g 121m ;2.44;EPICERIE;CORA;MASSY;91300
196;3329150370014;NAUTILUS;Crabe Chair Boite;145g 105e 145m ;3.44;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
197;3329150370014;NAUTILUS;Crabe Chair Boite;145g 105e 145m ;3.40;EPICERIE;CORA;MASSY;91300
198;3017800000793;D'AUCY;Petit pois Etuvee Extra fin Boite Métal;800g 560e ;1.59;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
199;3017800000793;D'AUCY;Petit pois Etuvee Extra fin Boite Métal;800g 560e ;1.58;EPICERIE;CORA;MASSY;91300
200;3017800003558;D'AUCY;Carotte & petit pois Extra fin Boite;800g 530e ;1.82;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
201;3017800003558;D'AUCY;Carotte & petit pois Extra fin Boite;800g 530e ;1.72;EPICERIE;CORA;MASSY;91300
204;3017800016862;D'AUCY;Haricots verts Extra fin Boite Métal;400g 220e ;0.91;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
205;3017800016862;D'AUCY;Haricots verts Extra fin Boite Métal;400g 220e ;0.89;EPICERIE;CORA;MASSY;91300
206;3017800022016;D'AUCY;Haricots beurre Extra fin Boite Métal;800g 460e ;2.03;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
207;3017800022016;D'AUCY;Haricots beurre Extra fin Boite Métal;800g 460e ;1.95;EPICERIE;CORA;MASSY;91300
209;3017800067031;D'AUCY;Haricots beurre Extra fin Boite Métal;400g 220e ;1.32;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
210;3017800067031;D'AUCY;Haricots beurre Extra fin Boite Métal;400g 220e ;1.29;EPICERIE;CORA;MASSY;91300
211;3017800078662;D'AUCY;Petit pois Etuvee Extra fin Boite Métal;400g 280e ;1.10;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
212;3017800078662;D'AUCY;Petit pois Etuvee Extra fin Boite Métal;400g 280e ;1.06;EPICERIE;CORA;MASSY;91300
213;3017800078723;D'AUCY;Carotte & petit pois Extra fin Boite;400g 265e ;1.25;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
214;3017800078723;D'AUCY;Carotte & petit pois Extra fin Boite;400g 265e ;1.18;EPICERIE;CORA;MASSY;91300
216;3017800078860;SULTANINES;Pois chiches Trempe Boite Métal;410g 265e ;1.01;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
217;3017800078860;SULTANINES;Pois chiches Trempe Boite Métal;410g 265e ;0.99;EPICERIE;CORA;MASSY;91300
218;3017800501658;D'AUCY;Mais Croquant Doux & croquant Boite Métal;300g 285e ;1.11;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
219;3017800501658;D'AUCY;Mais Croquant Doux & croquant Boite Métal;300g 285e ;1.11;EPICERIE;CORA;MASSY;91300
220;3021690201116;RAYNAL ET ROQUELAURE;Lentilles auvergnate Cuisine Boite;820g 530e 850ml ;2.18;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
221;3021690201116;RAYNAL ET ROQUELAURE;Lentilles auvergnate Cuisine Boite;820g 530e 850ml ;2.07;EPICERIE;CORA;MASSY;91300
224;3038352875035;PANZANI;Coulis Tomate Boite;x3 200g ;1.27;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
225;3038352875035;PANZANI;Coulis Tomate Boite;x3 200g ;1.41;EPICERIE;CORA;MASSY;91300
227;3038352876506;PANZANI TOMAPIZZA;Sauce Tomate Garniture pizza Brique;390g ;1.36;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
228;3038352876506;PANZANI TOMAPIZZA;Sauce Tomate Garniture pizza Brique;390g ;1.34;EPICERIE;CORA;MASSY;91300
230;3083680002981;BONDUELLE;Macedoine Boite;800g 530e ;1.62;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
231;3083680002981;BONDUELLE;Macedoine Boite;800g 530e ;1.60;EPICERIE;CORA;MASSY;91300
